Business Category,Business Name,Business Description,Website,Phone,Address,Email
FOOD & BEVERAGE,LOUGHEED WONTON RESTAURANT LTD.,Restaurant,,604-939-8833,"2408 ST JOHNS ST, PORT MOODY",sheenazhang7628@gmail.com
BEAUTY/ESTHETICS,SUGARING CHANGE,HAIR REMOVAL WITH SUGAR PASTE,,604-338-3131,"3 - 3130 ST JOHNS ST, PORT MOODY",chantelle@sugaringchange.com
BUSINESS SERVICES,DAVID J HO ARCHITECT INC,Architect,,604-469-9649,"204A - 3003 ST JOHNS ST, PORT MOODY",davidjho@telus.net
BANK/FINAN/INSURA,THE MORTGAGE ALLIANCE COMPANY OF CANADA,Mortgage Professionals,,604-461-3706,"310 - 130 BREW ST, PORT MOODY",lmacleod@mortgagealliance.com
FOOD & BEVERAGE,PANAGO PIZZA,PANAGO PIZZA FRANCHISE,,604-310-0001,"8 - 400 CAPILANO RD, PORT MOODY",
BEAUTY/ESTHETICS,PEP SOAP CO.,HANDMADE SOAP,,,"78 CLIFFWOOD DR, PORT MOODY",hello@pepsoap.com
COMMUNITY SERVICES/EDUCATION,PATHWAY COMMUNITY SERVICES LTD.,ADMINISTATIVE OFFICES FOR SOCIAL SERVICES BUSINESS,,,"2603 ST JOHNS ST, PORT MOODY",
BANK/FINAN/INSURA,"EDWARD D. JONES & CO, L.P.",Financial Consultant,,604-931-6850,"2826 ST JOHNS ST, PORT MOODY",bryan.stark@edwardjones.com
HEALTH,BRITTANY ROBERTSON RMT,REGISTERED MASSAGE THERAPY,,604-813-7982,"11 - 3130 ST JOHNS ST, PORT MOODY",www.bkrmassagetherapy@gmail.com
HEALTH,DR. SHARON ARNOLD & ASSOCIATES,PSYCHOLOGY PRACTICE,,604-464-2627,"610 - 220 BREW ST, PORT MOODY",drsharonarnold@gmail.com
RETAIL COMMERCIAL,VIVA CLOTHING COMPANY,"SELLING CLOTHES, ACCESSORIES, AND SHOES",,604-461-6089,"102 - 205 NEWPORT DR, PORT MOODY",design@vive-clothing.net
HEALTH,"DR. ANNE FEDOROWICZ, R.PSYCH",Registered Psychologist,,,"402 - 205 NEWPORT DR, PORT MOODY",drannef@gmail.com
BEAUTY/ESTHETICS,TOP NAILS & SPA,nail salon,,604-469-6684,"2826 ST JOHNS ST, PORT MOODY",
FOOD & BEVERAGE,WILLY'S GALLEY,RESTAURANT,,778-871-1177,"3 - 850 BARNET HWY, PORT MOODY",
COMMUNITY SERVICES/EDUCATION,MARKEL'S DAYCARE,Daycare,,604-936-8085,"924 GLENACRE CRT, PORT MOODY",madixon@telus.net
RETAIL COMMERCIAL,GREAT CANADIAN ENTERPRISES,ART/HOBBY/FLORAL/GIFT.,,604-469-2522,"2802 ST JOHNS ST, PORT MOODY",GREATCANADIANCOLLECTIBLES@TELUS.NET
HEALTH,DR. JOHN T.W. HUNG INC.,Pediatric Dental Services & Orthodontic Services,,604-461-4980,"501 - 205 NEWPORT DR, PORT MOODY",
BUSINESS SERVICES,TRUST ACCOUNTING & TAX SERVICES,"ACCOUNTING, TAX RETURNS AND BOOK KEEPING",,604-492-3655,"8 - 2402 ST JOHNS ST, PORT MOODY",trustaccounting@hotmail.com
RETAIL COMMERCIAL,MY COLLECTION,LADIES CLOTHING STORE.,,604-461-4651,"258 NEWPORT DR, PORT MOODY",ellen.mycollection@gmail.com
HEALTH,"DR. NATALIE FRANZ, REGISTERED PSYCHOLOGIST",REGISTERED PSYCHOLOGIST @ ST JOHNS HEALTH & WELLNESS CENTRE,,604-999-3689,"2226 ST JOHNS ST, PORT MOODY",nsfranz@shaw.ca
PROPERTY MGMT/REAL ESTATE,SHORELINE REAL ESTATE APPRAISELS LTD,PRODUCES REAL ESTATE APPRAISEL REPORTS,,778-773-1462,"549 IOCO RD, PORT MOODY",bradleycath@gmail.com
BUSINESS SERVICES,"I. IRITANI, CPA, INC.",ACCOUTING - CPA - HOME OFFICE,,604-767-7007,"407 - 285 NEWPORT DR, PORT MOODY",itsukoiritani@gmail.com
COMMUNITY SERVICES/EDUCATION,KIDS AND COMPANY PORT MOODY,CHILD CARE,,604-492-1075,"200 - 220 BREW ST, PORT MOODY",portmoody@kidsandcompany.com
BUSINESS SERVICES,DMAC ACCOUNTING CHARTERED PROFESSIONAL ACCOUNTANT,CHARETERED PROFESSIONAL ACCOUNTING FIRM/PRACTICE,,778-991-3284,"240 - 2227 ST JOHNS ST, PORT MOODY",DAVIN.MACLENNAN@GMAIL.COM
BUSINESS SERVICES,NOVA LAW CORPORATION,PROVISION OF LEGAL SERVICES,,604-800-3306,"207 - 3190 ST JOHNS ST, PORT MOODY",edith@novabc.ca
RETAIL COMMERCIAL,HILLTOP MARKET,RETAIL GROCERY STORE,,604-936-1044,"916 CLARKE RD, PORT MOODY",
BUSINESS SERVICES,SR GIRARDI CONSULTING,Income Tax and Financial Consultant,,604-469-6003,"15 - 3130 ST JOHNS ST, PORT MOODY",taxman46@telus.net
HEALTH,ATLAS STRENGTH HEALTH CORPORATION,CHIROPRACTIC SERVICES,,604-724-0282,"6 - 86 MOODY ST, PORT MOODY",jessicacheungdc@gmail.com
CONTRACTORS,BLUE GRASS CONTRACTING AND RENOVATIONS,HOME RENOVATIONS,,778-836-2818,"103 MAPLE DR, PORT MOODY",kennygtam@gmail.com
BEAUTY/ESTHETICS,HOUSE OF FADES,BARBERSHOP,,,"2504 ST JOHNS ST, PORT MOODY",
COMPUTERS/WEB DESIGN,SMARTDATA SOFTWARE & REPORTING SERVICES INC (SMARTDATA),BUSINESS SOFTWARE CONSULTING SERVICES - REGUS OFFICE,http://smartdata.ca,604-336-6466,"301 - 220 BREW ST, PORT MOODY",office@smartdata.ca
BUSINESS SERVICES,THE NEWPORT GROUP,CHARTERED PROFESSIONAL ACCOUNTANTS,,604-469-1996,"302 - 130 BREW ST, PORT MOODY",george@newportgroup.com
BEAUTY/ESTHETICS,WILDFLOWER BEAUTY BAR INC.,"SPA & ESTHETICS SERVICES: PEDICURES, MANICURES, FACIALS, WAXING",,778-231-6773,"2318 CLARKE ST, PORT MOODY",hello@wildflower-beautybar.ca
HEALTH,ERIKA BARDAL,CHILD & FAMILY THERAPIST,,778-839-2637,"820 - 220 BREW ST, PORT MOODY",erikabardal@gmail.com
BEAUTY/ESTHETICS,EUCALYPTUS SPA INC,MICROBLADING @ J & J HAIR SALON,,604-765-7605,"2340 ST JOHNS ST, PORT MOODY",eucalyptusdentalspa@outlook.com
HEALTH,"ROCKY POINT COUNSELLING, COACHING AND CONSULTING","CLINICAL COUNSELLING, COACHING AND CONSULTING",,604-441-0783,"10 - 2402 ST JOHNS ST, PORT MOODY",
RETAIL COMMERCIAL,HERITAGE DOLLAR STORE,dollar store,,,"140 - 221 IOCO RD, PORT MOODY",
HEALTH,DMN MASSAGE,REGISTERED MASSAGE THERAPIST @ ROCKY POINT WELLNESS,,778-237-5097,"618 - 95 MOODY ST, PORT MOODY",mandala34@hotmail.com
COMMUNITY SERVICES/EDUCATION,BLOCK 8 ACADEMY LTD,childcare,,604-722-6646,"36 SEAVIEW DR, PORT MOODY",cindysepp7@gmail.com
HEALTH,"MAHSA MACKIE, M.D., C.C.F.P.",MEDICAL PRACTITIONER @ ROCKY POINT MEDICAL CLINIC,,,"2523 ST JOHNS ST, PORT MOODY",mhsmck@gmail.com
RETAIL COMMERCIAL,AFRICA TRADING INC,RETAIL SPECIALTY MEAT SALES & MANUFACTURING,,,"1 - 3009 MURRAY ST, PORT MOODY",
BUSINESS SERVICES,CLARKSON LAW CORPORATION,LAW OFFICE,,604-917-0469,"301 - 220 BREW ST, PORT MOODY",bclarkson@bclarkson.org
CONTRACTORS,HANNAH TINNEY REGISTERED MASSAGE THERAPY,REGISTERED MASSAGE THERAPIST,,604-220-6267,"201 - 2615 ST JOHNS ST, PORT MOODY",hannahtinney@hotmail.com
CONTRACTORS,RICK FAORO LANDSCAPING,LANDSCAPING,,604-209-8475,"1310 CAMELLIA CRT, PORT MOODY",rsfaoro@shaw.ca
